"Korean Name","English Name","Searched Eng Name","Functions"
"1,10-데칸다이올","1,10-Decanediol","1,10-DECANEDIOL","SOLVENT"
"1,2-헥산다이올","1,2-Hexanediol","1,2-HEXANEDIOL","SKIN CONDITIONING | SOLVENT"
"1-메틸하이단토인-2-이미드","1-Methylhydantoin-2-Imide","1-METHYLHYDANTOIN-2-IMIDE","SKIN CONDITIONING"
"10-하이드록시데카노익애씨드","10-Hydroxydecanoic Acid","10-HYDROXYDECANOIC ACID","SKIN CONDITIONING"
"2,3-부탄다이올","2,3-Butanediol","2,3-BUTANEDIOL","HUMECTANT | FRAGRANCE | SKIN CONDITIONING | SOLVENT"
"2,4-다이메틸-3-사이클로헥신카복스알데하이드","2,4-Dimethyl-3-Cyclohexene Carboxaldehyde","2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE","FRAGRANCE | TONIC | PERFUMING"
"2-t-부틸사이클로헥실아세테이트","2-t-Butylcyclohexyl Acetate","2-T-BUTYLCYCLOHEXYL ACETATE","FRAGRANCE | PERFUMING"
"3-O-에틸아스코빅애씨드","3-O-Ethyl Ascorbic Acid","3-O-ETHYL ASCORBIC ACID","SKIN CONDITIONING"
"3-아스코빌카보닐다이펩타이드-17","3-Ascorbyl Carbonyl Dipeptide-17","3-ASCORBYL CARBONYL DIPEPTIDE-17","SKIN CONDITIONING"
"3-헥센올","3-Hexenol","3-HEXENOL","FRAGRANCE | SKIN CONDITIONING | PERFUMING"
"4-t-부틸사이클로헥산올","4-t-Butylcyclohexanol","4-T-BUTYLCYCLOHEXANOL","FRAGRANCE | PERFUMING"
"4-부틸레조시놀","4-Butylresorcinol","4-BUTYLRESORCINOL","ANTIOXIDANT"
"4-터피네올","4-Terpineol","4-TERPINEOL","FRAGRANCE"
"7-데하이드로콜레스테롤","7-Dehydrocholesterol","7-DEHYDROCHOLESTEROL","EMULSION STABILISING | SKIN CONDITIONING | VISCOSITY CONTROLLING"
"C10-18트라이글리세라이즈","C10-18 Triglycerides","C10-18 TRIGLYCERIDES","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING | SOLVENT"
"C12-13알케스-9","C12-13 Alketh-9","C12-13 ALKETH-9","SURFACTANT - EMULSIFYING"
"C12-14알케스-12","C12-14 Alketh-12","C12-14 ALKETH-12","SURFACTANT - EMULSIFYING"
"C12-15알킬벤조에이트","C12-15 Alkyl Benzoate","C12-15 ALKYL BENZOATE","ANTIMICROBIAL | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"C12-16알코올","C12-16 Alcohols","C12-16 ALCOHOLS","ANTISTATIC | SKIN CONDITIONING - EMOLLIENT | EMULSION STABILISING | HAIR CONDITIONING | VISCOSITY CONTROLLING"
"C12-18애씨드트라이글리세라이드","C12-18 Acid Triglyceride","C12-18 ACID TRIGLYCERIDE","SKIN CONDITIONING - EMOLLIENT | SURFACTANT - EMULSIFYING | SKIN CONDITIONING | SOLVENT | VISCOSITY CONTROLLING"
"C12-20알킬글루코사이드","C12-20 Alkyl Glucoside","C12-20 ALKYL GLUCOSIDE","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"C13-14아이소알케인","C13-14 Isoalkane","C13-14 ISOALKANE","SOLVENT | SKIN CONDITIONING - MISCELLANEOUS"
"C13-14알케인","C13-14 Alkane","C13-14 ISOPARAFFIN","SKIN CONDITIONING - EMOLLIENT | SOLVENT"
"C13-15알케인","C13-15 Alkane","C13-15 ALKANE","SOLVENT"
"C13-16아이소알케인","C13-16 Isoalkane","C13-16 ISOALKANE","SOLVENT"
"C14-22알코올","C14-22 Alcohols","C14-22 ALCOHOLS","EMULSION STABILISING"
"C14-28알킬애씨드","C14-28 Alkyl Acid","C14-28 ALKYL ACID","HAIR CONDITIONING"
"C15-19알케인","C15-19 Alkane","C15-19 ALKANE","SOLVENT"
"C18-21알케인","C18-21 Alkane","C18-21 ALKANE","SOLVENT"
"C18-36애씨드트라이글리세라이드","C18-36 Acid Triglyceride","C18-36 ACID TRIGLYCERIDE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"C20-22알코올","C20-22 Alcohols","C20-22 ALCOHOLS","BINDING | EMULSION STABILISING | VISCOSITY CONTROLLING"
"C20-22알킬포스페이트","C20-22 Alkyl Phosphate","C20-22 ALKYL PHOSPHATE","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"C30-45알킬다이메티콘","C30-45 Alkyl Dimethicone","C30-45 ALKYL CETEARYL DIMETHICONE CROSSPOLYMER","SKIN CONDITIONING - EMOLLIENT | FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"C30-45알킬세테아릴다이메티콘크로스폴리머","C30-45 Alkyl Cetearyl Dimethicone Crosspolymer","C30-45 ALKYL CETEARYL DIMETHICONE CROSSPOLYMER","SKIN CONDITIONING - EMOLLIENT | FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"C9-12알케인","C9-12 Alkane","C9-12 ALKANE","SOLVENT"
"N-하이드록시석신이미드","N-Hydroxysuccinimide","N-HYDROXYSUCCINIMIDE","SKIN CONDITIONING"
"o-사이멘-5-올","o-Cymen-5-ol","O-CYMEN-5-OL","ANTIMICROBIAL | DEODORANT | PRESERVATIVE"
"p-아니식애씨드","p-Anisic Acid","P-ANISIC ACID","FRAGRANCE"
"t-부틸알코올","t-Butyl Alcohol","T-BUTYL ALCOHOL","DENATURANT | SOLVENT | PERFUMING"
"가르시니아열매추출물","Garcinia Cambogia Fruit Extract","GARCINIA CAMBOGIA FRUIT EXTRACT","SKIN CONDITIONING"
"가시대나무수액","Bambusa Arundinacea Juice","BAMBUSA ARUNDINACEA JUICE","ABRASIVE | SKIN CONDITIONING"
"가시오갈피뿌리추출물","Acanthopanax Senticosus (Eleuthero) Root Extract","ACANTHOPANAX SENTICOSUS ROOT EXTRACT","SKIN CONDITIONING | SOOTHING"
"가시칠엽수씨추출물","Aesculus Hippocastanum (Horse Chestnut) Seed Extract","AESCULUS HIPPOCASTANUM SEED EXTRACT","SKIN CONDITIONING"
"가지열매추출물","Solanum Melongena (Eggplant) Fruit Extract","SOLANUM MELONGENA FRUIT EXTRACT","SKIN CONDITIONING"
"각시둥굴레뿌리줄기/뿌리추출물","Polygonatum Officinale Rhizome/Root Extract","SOLANUM MELONGENA FRUIT EXTRACT","SKIN CONDITIONING"
"갈락토미세스발효여과물","Galactomyces Ferment Filtrate","GALACTOMYCES/BETULA PLATYPHYLLA JAPONICA JUICE FERMENT FILTRATE","SKIN CONDITIONING - EMOLLIENT"
"갈락토아라비난","Galactoarabinan","GALACTOARABINAN","FILM FORMING"
"갈랑가갈랑갈추출물","Alpinia Galanga Extract","ALPINIA GALANGA EXTRACT","SKIN CONDITIONING"
"갈로일노나펩타이드-11","Galloyl Nonapeptide-11","GALLOYL NONAPEPTIDE-11","ANTI-SEBUM | SKIN PROTECTING"
"갈로일트라이펩타이드-48","Galloyl Tripeptide-48","GALLOYL TRIPEPTIDE-48","ANTIOXIDANT | SKIN PROTECTING"
"갈로일펜타펩타이드-33","Galloyl Pentapeptide-33","GALLOYL PENTAPEPTIDE-33","ANTIOXIDANT | SKIN PROTECTING"
"갈릭애씨드","Gallic Acid","GALLIC ACID","ANTIOXIDANT"
"갈릴글루코사이드","Gallyl Glucoside","GALLYL GLUCOSIDE","ANTIOXIDANT | SKIN CONDITIONING"
"갈바눔수지오일","Ferula Galbaniflua (Galbanum) Resin Oil","FERULA GALBANIFLUA RESIN OIL","ANTIMICROBIAL | TONIC | PERFUMING"
"감국꽃추출물","Chrysanthemum Indicum Flower Extract","CHRYSANTHEMUM INDICUM FLOWER EXTRACT","SKIN CONDITIONING"
"감국추출물","Chrysanthemum Indicum Extract","CHRYSANTHEMUM INDICUM FLOWER EXTRACT","SKIN CONDITIONING"
"감나무잎추출물","Diospyros Kaki Leaf Extract","DIOSPYROS KAKI LEAF EXTRACT","SKIN PROTECTING | TONIC"
"감초뿌리추출물","Glycyrrhiza Uralensis (Licorice) Root Extract","GLYCYRRHIZA URALENSIS ROOT EXTRACT","SKIN CONDITIONING"
"감초추출물","Glycyrrhiza Uralensis (Licorice) Extract","GLYCYRRHIZA URALENSIS ROOT EXTRACT","SKIN CONDITIONING"
"감추출물","Diospyros Kaki Fruit Extract","DIOSPYROS KAKI FRUIT EXTRACT","SKIN CONDITIONING"
"감태추출물","Ecklonia Cava Extract","ECKLONIA CAVA EXTRACT","SKIN CONDITIONING"
"개구리밥추출물","Spirodela Polyrhiza Extract","SPIRODELA POLYRHIZA EXTRACT","SKIN CONDITIONING"
"개다래추출물","Actinidia Polygama Fruit Extract","ACTINIDIA POLYGAMA FRUIT EXTRACT","SKIN CONDITIONING"
"개똥쑥추출물","Artemisia Annua Extract","ARTEMISIA ANNUA SEED EXTRACT","ANTIOXIDANT"
"개박하추출물","Nepeta Cataria Extract","NEPETA CATARIA EXTRACT","TONIC"
"개청각추출물","Codium Tomentosum Extract","CODIUM TOMENTOSUM EXTRACT","SKIN PROTECTING"
"검은깨추출물","Sesamum Indicum (Sesame) Seed Extract","SESAMUM INDICUM SEED EXTRACT","HAIR CONDITIONING | SKIN CONDITIONING | SMOOTHING | SOOTHING"
"검은뽕나무열매추출물","Morus Nigra Fruit Extract","MORUS NIGRA FRUIT EXTRACT","SKIN CONDITIONING"
"검은뽕나무잎추출물","Morus Nigra Leaf Extract","MORUS NIGRA LEAF EXTRACT","SKIN CONDITIONING"
"검은서양송로추출물","Tuber Melanosporum Extract","TUBER MELANOSPORUM EXTRACT","HUMECTANT | SKIN CONDITIONING"
"검정콩오일","Glycine Max (Soybean) Oil","GLYCINE MAX OIL","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"겔리듐 카르틸라기네움추출물","Gelidium Cartilagineum Extract","GELIDIUM CARTILAGINEUM EXTRACT","SKIN PROTECTING"
"겔리디엘라 아케로사추출물","Gelidiella Acerosa Extract","GELIDIELLA ACEROSA EXTRACT","SKIN PROTECTING"
"겨우살이열매추출물","Viscum Album (Mistletoe) Fruit Extract","VISCUM ALBUM FRUIT EXTRACT","SOOTHING"
"겨우살이추출물","Viscum Album (Mistletoe) Extract","VISCUM ALBUM LEAF EXTRACT","SOOTHING"
"결명씨추출물","Cassia Obtusifolia Seed Extract","VISCUM ALBUM LEAF EXTRACT","SOOTHING"
"결명자추출물","Cassia Tora Seed Extract","CASSIA TORA SEED EXTRACT","SKIN CONDITIONING"
"고구마뿌리추출물","Ipomoea Batatas Root Extract","IPOMOEA BATATAS ROOT LEES EXTRACT","SKIN CONDITIONING - EMOLLIENT"
"고구마추출물","Ipomoea Batatas Extract","IPOMOEA BATATAS EXTRACT","SKIN CONDITIONING"
"고본뿌리추출물","Angelica Tenuissima Root Extract","ANGELICA TENUISSIMA ROOT EXTRACT","SKIN CONDITIONING"
"고삼뿌리추출물","Sophora Flavescens Root Extract","SOPHORA FLAVESCENS ROOT EXTRACT","ANTIOXIDANT | SKIN CONDITIONING"
"고수열매오일","Coriandrum Sativum (Coriander) Fruit Oil","CORIANDRUM SATIVUM FRUIT OIL","FRAGRANCE | PERFUMING"
"고수추출물","Coriandrum Sativum (Coriander) Extract","CORIANDRUM SATIVUM SPROUT EXTRACT","ANTIOXIDANT | SKIN CONDITIONING"
"곤약뿌리추출물","Amorphophallus Konjac Root Extract","AMORPHOPHALLUS KONJAC ROOT EXTRACT","FILM FORMING | HUMECTANT"
"광곽향오일","Pogostemon Cablin Oil","POGOSTEMON CABLIN OIL","FRAGRANCE"
"광곽향잎오일","Pogostemon Cablin Leaf Oil","OXIDIZED POGOSTEMON CABLIN LEAF OIL EXTRACT","FRAGRANCE"
"광곽향잎추출물","Pogostemon Cablin Leaf Extract","POGOSTEMON CABLIN LEAF EXTRACT","PERFUMING"
"구기자나무잎추출물","Lycium Chinense Leaf Extract","LYCIUM CHINENSE LEAF EXTRACT","SKIN CONDITIONING"
"구기자추출물","Lycium Chinense Fruit Extract","LYCIUM CHINENSE FRUIT EXTRACT","ANTIOXIDANT"
"구름버섯추출물","Trametes Versicolor Extract","TRAMETES VERSICOLOR EXTRACT","HAIR CONDITIONING"
"구멍쇠미역추출물","Agarum Cribrosum Extract","AGARUM CRIBROSUM EXTRACT","SKIN CONDITIONING"
"구아검","Cyamopsis Tetragonoloba (Guar) Gum","CYAMOPSIS TETRAGONOLOBA GUM","BINDING | EMULSION STABILISING | FILM FORMING | FRAGRANCE | VISCOSITY CONTROLLING"
"구아닌","Guanine,CI 75170","GUANINE","COLORANT | OPACIFYING"
"구아바잎추출물","Psidium Guajava Leaf Extract","PSIDIUM GUAJAVA LEAF EXTRACT","ASTRINGENT | SKIN CONDITIONING"
"구아이아줄렌","Guaiazulene","GUAIAZULENE","ANTIMICROBIAL | PERFUMING"
"구아하이드록시프로필트라이모늄클로라이드","Guar Hydroxypropyltrimonium Chloride","GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE","ANTISTATIC | FILM FORMING | SKIN CONDITIONING | VISCOSITY CONTROLLING"
"구주물푸레나무껍질추출물","Fraxinus Excelsior Bark Extract","FRAXINUS EXCELSIOR BARK EXTRACT","SKIN CONDITIONING"
"구주소나무껍질추출물","Pinus Sylvestris Bark Extract","PINUS SYLVESTRIS BARK EXTRACT","TONIC | PERFUMING"
"구주소나무잎오일","Pinus Sylvestris Leaf Oil","PINUS SYLVESTRIS TWIG LEAF OIL",""
"구주호랑가시나무잎추출물","Ilex Aquifolium (Holly) Leaf Extract","ILEX AQUIFOLIUM LEAF EXTRACT","SKIN CONDITIONING"
"국화추출물","Chrysanthemum Morifolium Flower Extract","CHRYSANTHEMUM MORIFOLIUM FLOWER EXTRACT","SKIN CONDITIONING"
"귀리가루추출물","Avena Sativa (Oat) Meal Extract","AVENA SATIVA MEAL EXTRACT","SOOTHING"
"귀리단백질추출물","Avena Sativa (Oat) Protein Extract","AVENA SATIVA PROTEIN EXTRACT","SKIN CONDITIONING"
"귀리아미노산","Oat Amino Acids","OAT AMINO ACIDS","HAIR CONDITIONING | SKIN CONDITIONING"
"귀리커넬가루","Avena Sativa (Oat) Kernel Flour","AVENA SATIVA KERNEL FLOUR","ABRASIVE | ABSORBENT | BULKING | VISCOSITY CONTROLLING"
"귀리커넬단백질","Avena Sativa (Oat) Kernel Protein","AVENA SATIVA KERNEL PROTEIN","FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"귀리커넬오일","Avena Sativa (Oat) Kernel Oil","AVENA SATIVA KERNEL OIL","SKIN CONDITIONING"
"귀리커넬추출물","Avena Sativa (Oat) Kernel Extract","AVENA SATIVA KERNEL EXTRACT","ABRASIVE | ANTIOXIDANT | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"귀리펩타이드","Avena Sativa (Oat) Peptide","AVENA SATIVA PEPTIDE","FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"귤껍질추출물","Citrus Unshiu Peel Extract","CITRUS UNSHIU PEEL EXTRACT","FRAGRANCE"
"그래핀옥사이드","Graphene Oxide","GRAPHENE OXIDE","ANTIOXIDANT | HUMECTANT | SKIN CONDITIONING"
"그린와틀꽃왁스","Acacia Decurrens Flower Wax","ACACIA DECURRENS FLOWER WAX","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"글라이신","Glycine","GLYCINE","ANTISTATIC | BUFFERING | HAIR CONDITIONING | SKIN CONDITIONING"
"글라이코리피드","Glycolipids","GLYCOLIPIDS","SKIN CONDITIONING"
"글라이코사미노글리칸","Glycosaminoglycans","GLYCOSAMINOGLYCANS","SKIN CONDITIONING - EMOLLIENT | FILM FORMING | SKIN CONDITIONING"
"글라이코스핑고리피드","Glycosphingolipids","GLYCOSPHINGOLIPIDS","SKIN CONDITIONING - MISCELLANEOUS"
"글라이코실트레할로오스","Glycosyl Trehalose","GLYCOSYL TREHALOSE","EMULSION STABILISING | FILM FORMING"
"글라이코젠","Glycogen","SODIUM GLYCOGEN OCTENYLSUCCINATE","HUMECTANT | SKIN CONDITIONING"
"글라이코프로테인","Glycoproteins","GLYCOPROTEINS","HAIR CONDITIONING | SKIN CONDITIONING"
"글라이콜다이스테아레이트","Glycol Distearate","PEG-4 GLYCERYL DISTEARATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"글라이콜릭애씨드","Glycolic Acid","GLYCOLIC ACID","BUFFERING"
"글라이콜스테아레이트","Glycol Stearate","ACETYLATED GLYCOL STEARATE","SKIN CONDITIONING - EMOLLIENT | EMULSION STABILISING"
"글라이콜스테아레이트에스이","Glycol Stearate SE","GLYCOL STEARATE SE","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"글라이콜팔미테이트","Glycol Palmitate","GLYCOL PALMITATE","SURFACTANT - EMULSIFYING | OPACIFYING | SKIN CONDITIONING"
"글로불라리아 알리품잎추출물","Globularia Alypum Leaf Extract","GLOBULARIA ALYPUM LEAF EXTRACT","SKIN CONDITIONING"
"글루코노락톤","Gluconolactone","GLUCONOLACTONE","CHELATING | SKIN CONDITIONING"
"글루코닉애씨드","Gluconic Acid","GLUCONIC ACID","CHELATING | PERFUMING"
"글루코만난","Glucomannan","GLUCOMANNAN","SKIN CONDITIONING | SKIN PROTECTING"
"글루코사민에이치씨엘","Glucosamine HCl","GLUCOSAMINE HCL","ANTISTATIC | HAIR CONDITIONING"
"글루코실루틴","Glucosylrutin","GLUCOSYLRUTIN","ANTIOXIDANT"
"글루코실헤스페리딘","Glucosyl Hesperidin","GLUCOSYL HESPERIDIN","HUMECTANT | SKIN CONDITIONING"
"글루코오스","Glucose","GLUCOSE","HUMECTANT"
"글루쿠로닉애씨드","Glucuronic Acid","GLUCURONIC ACID","BUFFERING | CHELATING | HUMECTANT"
"글루타믹애씨드","Glutamic Acid","GLUTAMIC ACID","ANTISTATIC | HAIR CONDITIONING | HUMECTANT"
"글루타민","Glutamine","GLUTAMINE","ANTISTATIC | HAIR CONDITIONING | SKIN CONDITIONING"
"글루타티온","Glutathione","GLUTATHIONE","REDUCING"
"글리세레스-20","Glycereth-20","GLYCERETH-20 COCOATE",""
"글리세레스-25피씨에이아이소스테아레이트","Glycereth-25 PCA Isostearate","GLYCERETH-25 PCA ISOSTEARATE","SURFACTANT - EMULSIFYING | SKIN CONDITIONING"
"글리세레스-26","Glycereth-26","GLYCERETH-26","HUMECTANT | VISCOSITY CONTROLLING"
"글리세린","Glycerin","GLYCERIN","DENATURANT | HAIR CONDITIONING | HUMECTANT | ORAL CARE | SKIN PROTECTING | SOLVENT | VISCOSITY CONTROLLING | PERFUMING | FRAGRANCE | SKIN CONDITIONING - HUMECTANT"
"글리세릴글루코사이드","Glyceryl Glucoside","GLYCERYL GLUCOSIDE","HUMECTANT | SKIN CONDITIONING"
"글리세릴다이베헤네이트","Glyceryl Dibehenate","GLYCERYL DIBEHENATE","SKIN CONDITIONING - EMOLLIENT"
"글리세릴다이스테아레이트","Glyceryl Distearate","PEG-4 GLYCERYL DISTEARATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"글리세릴다이올리에이트","Glyceryl Dioleate","GLYCERYL DIOLEATE","SKIN CONDITIONING - EMOLLIENT"
"글리세릴리놀리네이트","Glyceryl Linolenate","GLYCERYL LINOLENATE","SKIN CONDITIONING - EMOLLIENT"
"글리세릴리놀리에이트","Glyceryl Linoleate","PEG-12 GLYCERYL LINOLEATE","CLEANSING | SKIN CONDITIONING - EMOLLIENT | EMULSION STABILISING | SOLVENT | SURFACTANT - CLEANSING"
"글리세릴베헤네이트","Glyceryl Behenate","GLYCERYL BEHENATE","SKIN CONDITIONING - EMOLLIENT | SURFACTANT - EMULSIFYING"
"글리세릴스테아레이트시트레이트","Glyceryl Stearate Citrate","GLYCERYL STEARATE CITRATE","SKIN CONDITIONING - EMOLLIENT | SURFACTANT - EMULSIFYING | SKIN CONDITIONING"
"글리세릴스테아레이트에스이","Glyceryl Stearate SE","GLYCERYL STEARATE SE","SURFACTANT - EMULSIFYING"
"글리세릴아라키도네이트","Glyceryl Arachidonate","GLYCERYL ARACHIDONATE","SKIN CONDITIONING - EMOLLIENT | SURFACTANT - EMULSIFYING"
"글리세릴올리에이트","Glyceryl Oleate","OLEIC/PALMITIC TRIGLYCERIDE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"글리세릴올리에이트시트레이트","Glyceryl Oleate Citrate","GLYCERYL OLEATE CITRATE","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"글리세릴카프릴레이트","Glyceryl Caprylate","CAPRYLIC/PCA GLYCERIDES","ANTISTATIC | SURFACTANT - EMULSIFYING | SURFACTANT - FOAM BOOSTING | HAIR CONDITIONING"
"글리세릴폴리메타크릴레이트","Glyceryl Polymethacrylate","GLYCERYL POLYMETHACRYLATE","VISCOSITY CONTROLLING"
"글리세릴폴리아크릴레이트","Glyceryl Polyacrylate","GLYCERYL POLYACRYLATE","FILM FORMING"
"글리시레티닉애씨드","Glycyrrhetinic Acid","GLYCYRRHETINIC ACID","SKIN CONDITIONING"
"글리시리직애씨드","Glycyrrhizic Acid","GLYCYRRHIZIC ACID","HUMECTANT | SKIN CONDITIONING"
"금","CI 77480,Gold","CI 77480","COLORANT"
"금사연둥지추출물","Swiftlet Nest Extract","HYDROLYZED SWIFTLET NEST EXTRACT","SKIN CONDITIONING"
"기가르티나 스텔라타추출물","Gigartina Stellata Extract","GIGARTINA STELLATA EXTRACT","SKIN PROTECTING"
"기장추출물","Panicum Miliaceum (Millet) Seed Extract","PANICUM MILIACEUM SEED EXTRACT","SKIN CONDITIONING | SMOOTHING"
"긴병꽃풀추출물","Glechoma Hederacea Extract","GLECHOMA HEDERACEA EXTRACT","SKIN CONDITIONING | TONIC"
"까무까무열매추출물","Myrciaria Dubia Fruit Extract","MYRCIARIA DUBIA FRUIT EXTRACT","SKIN CONDITIONING"
"꽃가루추출물","Pollen Extract","POLLEN EXTRACT","SKIN CONDITIONING - EMOLLIENT | SKIN PROTECTING"
"꽃생강뿌리추출물","Hedychium Coronarium Root Extract","HEDYCHIUM CORONARIUM ROOT EXTRACT","FRAGRANCE | SKIN CONDITIONING | TONIC"
"꽃송이버섯추출물","Sparassis Crispa Extract","SPARASSIS CRISPA EXTRACT","EMULSION STABILISING | HAIR CONDITIONING | HUMECTANT | SKIN CONDITIONING"
"꽃창포추출물","Iris Ensata Extract","IRIS ENSATA EXTRACT","SKIN CONDITIONING"
"꽈리열매추출물","Physalis Alkekengi Fruit Extract","PHYSALIS ALKEKENGI FRUIT EXTRACT","SKIN CONDITIONING"
"꿀","Honey","HONEY EXTRACT","HUMECTANT | SKIN CONDITIONING | FLAVOURING"
"꿀추출물","Honey Extract","HONEY EXTRACT","HUMECTANT | SKIN CONDITIONING | FLAVOURING"
"꿀풀잎추출물","Prunella Vulgaris Leaf Extract","PRUNELLA VULGARIS LEAF EXTRACT","SKIN CONDITIONING"
"꿀풀추출물","Prunella Vulgaris Extract","PRUNELLA VULGARIS EXTRACT","ANTIOXIDANT"
"나린제닌","Naringenin","NARINGENIN","SKIN CONDITIONING"
"나무이끼추출물","Evernia Furfuracea (Treemoss) Extract","EVERNIA FURFURACEA EXTRACT","PERFUMING"
"나비콩꽃추출물","Clitoria Ternatea Flower Extract","CLITORIA TERNATEA FLOWER EXTRACT","SKIN CONDITIONING"
"나이아신","Niacin","NIACIN","ANTISTATIC | SMOOTHING"
"나이아신아마이드","Niacinamide","NIACINAMIDE","SMOOTHING"
"나일론-12","Nylon-12","NYLON-12","BULKING | OPACIFYING | VISCOSITY CONTROLLING"
"나팔수선화추출물","Narcissus Pseudonarcissus (Daffodil) Flower Extract","NARCISSUS PSEUDONARCISSUS FLOWER EXTRACT","SKIN CONDITIONING"
"납작파래추출물","Enteromorpha Compressa Extract","ENTEROMORPHA COMPRESSA EXTRACT","SKIN PROTECTING"
"낫토검","Natto Gum","NATTO GUM","FILM FORMING"
"냉초추출물","Veronicastrum Sibiricum Extract","VERONICASTRUM SIBIRICUM EXTRACT","HUMECTANT | SKIN CONDITIONING | SKIN PROTECTING"
"네오루스코제닌","Neoruscogenin","NEORUSCOGENIN","SKIN CONDITIONING"
"네오펜틸글라이콜다이에틸헥사노에이트","Neopentyl Glycol Diethylhexanoate","NEOPENTYL GLYCOL DIETHYLHEXANOATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"네오펜틸글라이콜다이카프레이트","Neopentyl Glycol Dicaprate","NEOPENTYL GLYCOL DICAPRATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"네오펜틸글라이콜다이헵타노에이트","Neopentyl Glycol Diheptanoate","NEOPENTYL GLYCOL DIHEPTANOATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"노나펩타이드-1","Nonapeptide-1","NONAPEPTIDE-1","HAIR CONDITIONING | SKIN CONDITIONING"
"노나펩타이드-11","Nonapeptide-11","SHIKIMOYL NONAPEPTIDE-11","ANTIOXIDANT | ANTI-SEBUM | SKIN PROTECTING"
"노나펩타이드-7","Nonapeptide-7","NONAPEPTIDE-7","SKIN CONDITIONING"
"노니열매추출물","Morinda Citrifolia Fruit Extract","NONAPEPTIDE-7","SKIN CONDITIONING"
"노니추출물","Morinda Citrifolia Extract","MORINDA CITRIFOLIA SEED EXTRACT","SKIN CONDITIONING"
"노랑만병초잎추출물","Rhododendron Chrysanthum Leaf Extract","RHODODENDRON CHRYSANTHUM LEAF EXTRACT","FRAGRANCE | SKIN PROTECTING | SOOTHING"
"노티드랙추출물","Ascophyllum Nodosum Extract","ASCOPHYLLUM NODOSUM EXTRACT","SKIN CONDITIONING"
"녹나무껍질오일","Cinnamomum Camphora (Camphor) Bark Oil","CINNAMOMUM CAMPHORA BARK OIL","FRAGRANCE | SKIN CONDITIONING | TONIC"
"녹두씨추출물","Phaseolus Radiatus Seed Extract","PHASEOLUS RADIATUS SEED EXTRACT","HAIR CONDITIONING | SKIN CONDITIONING"
"녹두전초추출물","Phaseolus Radiatus Extract","PHASEOLUS RADIATUS EXTRACT","SKIN CONDITIONING"
"녹차수","Camellia Sinensis Leaf Water","CAMELLIA SINENSIS LEAF WATER","FRAGRANCE | TONIC | PERFUMING"
"녹차씨오일","Camellia Sinensis Seed Oil","CAMELLIA SINENSIS SEED OIL","HUMECTANT | SKIN CONDITIONING"
"녹차씨추출물","Camellia Sinensis Seed Extract","CAMELLIA SINENSIS SEED EXTRACT","HUMECTANT | SKIN CONDITIONING | PERFUMING"
"녹차오일","Camellia Sinensis Leaf Oil","CAMELLIA SINENSIS LEAF OIL","ANTIOXIDANT | SKIN CONDITIONING"
"녹차추출물","Camellia Sinensis Leaf Extract","CAMELLIA SINENSIS LEAF CELL EXTRACT","ANTIOXIDANT | SKIN PROTECTING"
"니아울리나무잎오일","Melaleuca Viridiflora Leaf Oil","MELALEUCA VIRIDIFLORA LEAF OIL","SKIN CONDITIONING"
"니코티노일다이펩타이드-23","Nicotinoyl Dipeptide-23","NICOTINOYL DIPEPTIDE-23","SKIN CONDITIONING"
"니코티노일에스에이치-펜타펩타이드-19","Nicotinoyl sh-Pentapeptide-19","NICOTINOYL SH-PENTAPEPTIDE-19","SKIN CONDITIONING"
"니코티노일트라이펩타이드-1","Nicotinoyl Tripeptide-1","NICOTINOYL TRIPEPTIDE-1","ANTIOXIDANT | CHELATING | SKIN PROTECTING"
"니코티노일트라이펩타이드-35","Nicotinoyl Tripeptide-35","NICOTINOYL TRIPEPTIDE-35","ANTIOXIDANT"
"니코티노일트라이펩타이드-47","Nicotinoyl Tripeptide-47","NICOTINOYL TRIPEPTIDE-47","SKIN CONDITIONING"
